source,product,Brand_custom,Category_custom,Flavor_custom,Item_custom,name,date,status,sentiment,topic,notes,author,verified,vine,stars,pvotes,tvotes,title,text,image,video,reviewid,reviewlink,parent,statusdt,statustime,helpfulcount,commenttext,commentauthor,officialcomment,totalcomments,commentts,commentdatestring,inputtime
amazon,B00F94YP8A,Dang,Coconut Chips,Caramel Sea Salt,"Dang Gluten Free Toasted Coconut Chips, Caramel Sea Salt, 1.43 Ounce Bags (Pack of 12)","Dang Toasted Coconut Chips, Paleo, Gluten Free, Caramel Sea Salt, 1.43 Ounce (12 Count)",1/4/15,Not Assigned,Not Assigned,Not Assigned,,A Wheel,TRUE,n/a,5,0,0,Dang Good Stuff,"If you are a coconut lover then you will be addicted to these coconut chips. They have only 3 ingredients and only coconut sugar as a sweetener. There is a very satisfying crunch to them that leads to a sort melt in your mouth effect. When you get to the end of the bag, you will say, ""Dang!""",No,No,R39K0ATVUIKHEF,https://www.amazon.com/review/R39K0ATVUIKHEF/ref=cm_cr_dp_title?ie=UTF8&ASIN=B00F94YP8A,B07BN6WQQS,,,,,,,,,,5/16/19 22:36
amazon,B00F94YP8A,Dang,Coconut Chips,Caramel Sea Salt,"Dang Gluten Free Toasted Coconut Chips, Caramel Sea Salt, 1.43 Ounce Bags (Pack of 12)","Dang Toasted Coconut Chips, Paleo, Gluten Free, Caramel Sea Salt, 1.43 Ounce (12 Count)",1/3/15,Not Assigned,Not Assigned,Not Assigned,,Marla Conklin,TRUE,n/a,5,0,0,Five Stars,Excellent!,No,No,R5LSMX3GVENXS,https://www.amazon.com/review/R5LSMX3GVENXS/ref=cm_cr_dp_title?ie=UTF8&ASIN=B00F94YP8A,B07BN6WQQS,,,,,,,,,,5/16/19 22:36
amazon,B00F94YP8A,Dang,Coconut Chips,Caramel Sea Salt,"Dang Gluten Free Toasted Coconut Chips, Caramel Sea Salt, 1.43 Ounce Bags (Pack of 12)","Dang Toasted Coconut Chips, Paleo, Gluten Free, Caramel Sea Salt, 1.43 Ounce (12 Count)",1/1/15,Not Assigned,Not Assigned,Not Assigned,,Chrissie,TRUE,n/a,5,0,0,Five Stars,Love these! ! Super addicting!,No,No,R6TX86ZRZ3WGU,https://www.amazon.com/review/R6TX86ZRZ3WGU/ref=cm_cr_dp_title?ie=UTF8&ASIN=B00F94YP8A,B07BN6WQQS,,,,,,,,,,5/16/19 22:36
amazon,B00F94YP8A,Dang,Coconut Chips,Caramel Sea Salt,"Dang Gluten Free Toasted Coconut Chips, Caramel Sea Salt, 1.43 Ounce Bags (Pack of 12)","Dang Toasted Coconut Chips, Paleo, Gluten Free, Caramel Sea Salt, 1.43 Ounce (12 Count)",12/27/14,Not Assigned,Not Assigned,Not Assigned,,Dana Lee,TRUE,n/a,5,0,0,Five Stars,These are amazing,No,No,R3RU63K3FINZG,https://www.amazon.com/review/R3RU63K3FINZG/ref=cm_cr_dp_title?ie=UTF8&ASIN=B00F94YP8A,B07BN6WQQS,,,,,,,,,,5/16/19 22:36
amazon,B00F94YP8A,Dang,Coconut Chips,Caramel Sea Salt,"Dang Gluten Free Toasted Coconut Chips, Caramel Sea Salt, 1.43 Ounce Bags (Pack of 12)","Dang Toasted Coconut Chips, Paleo, Gluten Free, Caramel Sea Salt, 1.43 Ounce (12 Count)",12/24/14,Not Assigned,Not Assigned,Not Assigned,,Stephanie L. Hahn,TRUE,n/a,5,0,0,You don't have to eat a lot to feel satisfied.,Yummy. You don't have to eat a lot to feel satisfied.,No,No,R9FQYAOHFAWIN,https://www.amazon.com/review/R9FQYAOHFAWIN/ref=cm_cr_dp_title?ie=UTF8&ASIN=B00F94YP8A,B07BN6WQQS,,,,,,,,,,5/16/19 22:36
amazon,B00F94YP8A,Dang,Coconut Chips,Caramel Sea Salt,"Dang Gluten Free Toasted Coconut Chips, Caramel Sea Salt, 1.43 Ounce Bags (Pack of 12)","Dang Toasted Coconut Chips, Paleo, Gluten Free, Caramel Sea Salt, 1.43 Ounce (12 Count)",12/15/14,Not Assigned,Not Assigned,Not Assigned,,AdGal,TRUE,n/a,5,0,0,Yummy!,delicious Snack! my whole family loves these!,No,No,RQ1IO4JSIMEQC,https://www.amazon.com/review/RQ1IO4JSIMEQC/ref=cm_cr_dp_title?ie=UTF8&ASIN=B00F94YP8A,B07BN6WQQS,,,,,,,,,,5/16/19 22:36
amazon,B00F94YP8A,Dang,Coconut Chips,Caramel Sea Salt,"Dang Gluten Free Toasted Coconut Chips, Caramel Sea Salt, 1.43 Ounce Bags (Pack of 12)","Dang Toasted Coconut Chips, Paleo, Gluten Free, Caramel Sea Salt, 1.43 Ounce (12 Count)",12/9/14,Not Assigned,Not Assigned,Not Assigned,,cupcake,TRUE,n/a,5,0,0,Yum,Delicious!!!,No,No,RH0Z43DLWXHZG,https://www.amazon.com/review/RH0Z43DLWXHZG/ref=cm_cr_dp_title?ie=UTF8&ASIN=B00F94YP8A,B07BN6WQQS,,,,,,,,,,5/16/19 22:36
amazon,B00F94YP8A,Dang,Coconut Chips,Caramel Sea Salt,"Dang Gluten Free Toasted Coconut Chips, Caramel Sea Salt, 1.43 Ounce Bags (Pack of 12)","Dang Toasted Coconut Chips, Paleo, Gluten Free, Caramel Sea Salt, 1.43 Ounce (12 Count)",11/21/14,Not Assigned,Not Assigned,Not Assigned,,C. Faris,TRUE,n/a,5,0,0,"Dang Toasted Coconut Chips, Caramel Sea Salt","These toasted coconut chips with caramel sea salt are very tasty and a nice substitute for potato chips.  They come in 12, 1.43 ounce packs.  I would buy these again.",No,No,R1TH4GFCCWZU27,https://www.amazon.com/review/R1TH4GFCCWZU27/ref=cm_cr_dp_title?ie=UTF8&ASIN=B00F94YP8A,B07BN6WQQS,,,,,,,,,,5/16/19 22:36
amazon,B00F94YP8A,Dang,Coconut Chips,Caramel Sea Salt,"Dang Gluten Free Toasted Coconut Chips, Caramel Sea Salt, 1.43 Ounce Bags (Pack of 12)","Dang Toasted Coconut Chips, Paleo, Gluten Free, Caramel Sea Salt, 1.43 Ounce (12 Count)",11/6/14,Not Assigned,Not Assigned,Not Assigned,,"Sir Harry Paget Flashman VC, KCB, KCIE",TRUE,n/a,5,0,0,Yummy! Healty!,"I love it! My Friend was recommned this, and It's very delish! My husband loved it also.We'd buy it again!",No,No,R32X1ON2NNK5QV,https://www.amazon.com/review/R32X1ON2NNK5QV/ref=cm_cr_dp_title?ie=UTF8&ASIN=B00F94YP8A,B07BN6WQQS,,,,,,,,,,5/16/19 22:36
amazon,B00F94YP8A,Dang,Coconut Chips,Caramel Sea Salt,"Dang Gluten Free Toasted Coconut Chips, Caramel Sea Salt, 1.43 Ounce Bags (Pack of 12)","Dang Toasted Coconut Chips, Paleo, Gluten Free, Caramel Sea Salt, 1.43 Ounce (12 Count)",10/11/14,Not Assigned,Not Assigned,Not Assigned,,PJ Chesney,TRUE,n/a,5,0,0,Great tasting snack plus it's high fiber,"I was introduced to these by friends without my looking at the package and said ""Dang, this is good."" Lots of laughs at that, but really, these are absolutely delicious.",No,No,R1TO40BUHB5OI1,https://www.amazon.com/review/R1TO40BUHB5OI1/ref=cm_cr_dp_title?ie=UTF8&ASIN=B00F94YP8A,B07BN6WQQS,,,,,,,,,,5/16/19 22:36
amazon,B00F94YP8A,Dang,Coconut Chips,Caramel Sea Salt,"Dang Gluten Free Toasted Coconut Chips, Caramel Sea Salt, 1.43 Ounce Bags (Pack of 12)","Dang Toasted Coconut Chips, Paleo, Gluten Free, Caramel Sea Salt, 1.43 Ounce (12 Count)",10/5/14,Not Assigned,Not Assigned,Not Assigned,,Karen Yacovelli,TRUE,n/a,5,0,0,Best thing,"Oh Man!!!  Ok, I ate my whole supply.  I'll be putting in an order soon.  Best thing ever",No,No,R27UIVUNJSW9KD,https://www.amazon.com/review/R27UIVUNJSW9KD/ref=cm_cr_dp_title?ie=UTF8&ASIN=B00F94YP8A,B07BN6WQQS,,,,,,,,,,5/16/19 22:36
amazon,B00F94YP8A,Dang,Coconut Chips,Caramel Sea Salt,"Dang Gluten Free Toasted Coconut Chips, Caramel Sea Salt, 1.43 Ounce Bags (Pack of 12)","Dang Toasted Coconut Chips, Paleo, Gluten Free, Caramel Sea Salt, 1.43 Ounce (12 Count)",9/27/14,Not Assigned,Not Assigned,Not Assigned,,M. Little,FALSE,n/a,5,0,0,Coconut the NEW snack.,"Dang is very good, but I paid 12.00 for a case of 12.  So this is very over priced.But I just love them :)",No,No,R1D8692VBUY49R,https://www.amazon.com/review/R1D8692VBUY49R/ref=cm_cr_dp_title?ie=UTF8&ASIN=B00F94YP8A,B07BN6WQQS,,,,,,,,,,5/16/19 22:36
amazon,B00F94YP8A,Dang,Coconut Chips,Caramel Sea Salt,"Dang Gluten Free Toasted Coconut Chips, Caramel Sea Salt, 1.43 Ounce Bags (Pack of 12)","Dang Toasted Coconut Chips, Paleo, Gluten Free, Caramel Sea Salt, 1.43 Ounce (12 Count)",9/22/14,Not Assigned,Not Assigned,Not Assigned,,3 princesses mommy,TRUE,n/a,5,0,0,very yummy!,"so yummy!  crunchy, sweet and slightly salty.  They don't taste much like caramel, but they are super tasty and not too sweet.",No,No,R29HRJA00GMHFP,https://www.amazon.com/review/R29HRJA00GMHFP/ref=cm_cr_dp_title?ie=UTF8&ASIN=B00F94YP8A,B07BN6WQQS,,,,,,,,,,5/16/19 22:36
amazon,B00F94YP8A,Dang,Coconut Chips,Caramel Sea Salt,"Dang Gluten Free Toasted Coconut Chips, Caramel Sea Salt, 1.43 Ounce Bags (Pack of 12)","Dang Toasted Coconut Chips, Paleo, Gluten Free, Caramel Sea Salt, 1.43 Ounce (12 Count)",9/11/14,Not Assigned,Not Assigned,Not Assigned,,SM,FALSE,n/a,5,0,0,a treat you can feel good about,"I am nuts for coconut chips.  Extremely tasty and very addictive.  At first I was sad there isn't a subscribe and save option, but then I realized that is probably better, because otherwise I would eat a bag a day!  These are a great option to bring on a plane since they're not too messy or smelly (and I usually avoid bringing tree nuts on airplanes). They don't add weight to your purse so you can carry a snack bag around anytime.  I haven't hopped on the coconut bandwagon until now... and now that I am into these chips I don't think I will be able to quit!  So buyer beware--these will become a part of your regular shopping list.",No,No,RILTCH2GL6VQL,https://www.amazon.com/review/RILTCH2GL6VQL/ref=cm_cr_dp_title?ie=UTF8&ASIN=B00F94YP8A,B07BN6WQQS,,,,,,,,,,5/16/19 22:36
